48 152 0 , 1218 2393 0
48 160 0 , 1222 2494 0
48 168 0 , 1224 2583 0
48 176 0 , 1228 2682 0
48 184 0 , 1231 2771 0
48 192 0 , 1234 2868 0
48 200 0 , 1237 2957 0
48 208 0 , 1240 3054 0
48 216 0 , 1243 3140 0
48 224 0 , 1247 3236 0
48 232 0 , 1250 3321 0
48 240 0 , 1251 431 0
48 248 0 , 1253 3414 0
56 0 0 , 1255 537 0
56 8 0 , 1256 3498 0
56 16 0 , 1258 652 0
56 24 0 , 1261 757 0
56 32 0 , 1264 871 0
56 40 0 , 1268 975 0
56 48 0 , 1271 1087 0
56 56 0 , 1274 1188 0
56 64 0 , 1277 1298 0
56 72 0 , 1280 1397 0
56 80 0 , 1284 1506 0
56 88 0 , 1287 1603 0
56 96 0 , 1290 1709 0
56 104 0 , 1293 1804 0
56 112 0 , 1297 1907 0
56 120 0 , 1300 2001 0
56 128 0 , 1303 2103 0
56 136 0 , 1305 2195 0
56 144 0 , 1309 2295 0
56 152 0 , 1311 2386 0
56 160 0 , 1314 2486 0
56 168 0 , 1317 2575 0
56 176 0 , 1320 2673 0
56 184 0 , 1322 2762 0
56 192 0 , 1325 2859 0
56 200 0 , 1328 2946 0
56 208 0 , 1331 3042 0
56 216 0 , 1333 3128 0
56 224 0 , 1336 3224 0
56 232 0 , 1339 3308 0
56 240 0 , 1343 3401 0
56 248 0 , 1345 3485 0
64 0 0 , 1361 438 0
64 8 0 , 1364 542 0
64 16 0 , 1366 657 0
64 24 0 , 1369 761 0
64 32 0 , 1372 875 0
64 40 0 , 1374 978 0
64 48 0 , 1377 1089 0
64 56 0 , 1380 1189 0
64 64 0 , 1383 1299 0
64 72 0 , 1385 1397 0
64 80 0 , 1388 1505 0
64 88 0 , 1390 1601 0
64 96 0 , 1393 1706 0
64 104 0 , 1396 1801 0
64 112 0 , 1399 1904 0
64 120 0 , 1401 1996 0
64 128 0 , 1404 2097 0
64 136 0 , 1406 2189 0
64 144 0 , 1409 2289 0
64 152 0 , 1411 2379 0
64 160 0 , 1414 2478 0
