324,380,0
432,378,0
553,378,0
666,380,0
788,383,0
897,385,0
1019,387,0
1128,388,0
1248,389,0
1356,391,0
1477,391,0
1585,391,0
1705,391,0
1812,392,0
1932,391,0
2042,388,0
2161,386,0
2270,386,0
2388,387,0
2498,387,0
2618,385,0
2726,386,0
327,493,0
436,492,0
556,491,0
668,494,0
789,494,0
899,497,0
1020,500,0
1130,502,0
1249,503,0
1359,504,0
1477,505,0
1585,504,0
1704,505,0
1812,504,0
1931,504,0
2041,501,0
2159,499,0
2269,498,0
2388,497,0
2498,496,0
2617,496,0
2725,495,0
331,618,0
437,618,0
560,617,0
671,618,0
792,620,0
902,622,0
1022,624,0
1132,626,0
1250,626,0
1359,627,0
1478,628,0
1585,629,0
1705,629,0
1811,627,0
1932,627,0
2039,624,0
2158,623,0
2267,621,0
2388,621,0
2496,619,0
2615,619,0
2722,619,0
335,731,0
444,730,0
564,729,0
674,731,0
795,732,0
904,734,0
1024,735,0
1133,738,0
1252,738,0
1360,739,0
1478,739,0
1585,740,0
1703,739,0
1811,738,0
1929,737,0
2037,735,0
2156,734,0
2265,733,0
2383,732,0
2493,730,0
2612,730,0
2719,730,0
340,855,0
449,854,0
567,854,0
676,855,0
797,855,0
906,856,0
1026,859,0
1135,861,0
1253,861,0
1361,862,0
1478,863,0
1585,863,0
1703,863,0
1810,861,0
1927,859,0
2036,858,0
2154,855,0
2263,855,0
2381,854,0
2490,853,0
2612,854,0
2716,852,0
345,967,0
453,967,0
571,965,0
680,967,0
800,966,0
909,969,0
1028,971,0
1137,973,0
1254,973,0
1362,974,0
1478,975,0
1585,975,0
1702,975,0
1809,973,0
1926,972,0
2034,969,0
2152,968,0
2261,966,0
2379,965,0
2488,964,0
2605,964,0
2711,963,0
350,1089,0
456,1088,0
574,1087,0
683,1088,0
803,1089,0
906,1091,0
1031,1093,0
1139,1094,0
1255,1094,0
1363,1095,0
1479,1095,0
1585,1095,0
1702,1095,0
1807,1094,0
1925,1092,0
2032,1090,0
2150,1088,0
2258,1087,0
2376,1085,0
2484,1085,0
2602,1084,0
2707,1085,0
354,1199,0
460,1198,0
578,1197,0
687,1199,0
806,1200,0
915,1201,0
1032,1203,0
1141,1204,0
1257,1204,0
1363,1204,0
1479,1205,0
1585,1205,0
1701,1204,0
1807,1203,0
1923,1202,0
2031,1200,0
2148,1198,0
2256,1196,0
2373,1196,0
2482,1194,0
2598,1195,0
2702,1194,0
358,1319,0
464,1318,0
581,1318,0
691,1318,0
810,1320,0
913,1322,0
1035,1322,0
1142,1322,0
1258,1323,0
1364,1323,0
1479,1323,0
1584,1323,0
1700,1322,0
1806,1321,0
1924,1321,0
2029,1319,0
2148,1318,0
2253,1316,0
2370,1314,0
2478,1314,0
2595,1314,0
2698,1314,0
363,1427,0
468,1427,0
585,1427,0
695,1428,0
813,1428,0
920,1429,0
1037,1430,0
1144,1431,0
1259,1431,0
1365,1431,0
1480,1431,0
1585,1431,0
1700,1430,0
1805,1429,0
1920,1428,0
2027,1427,0
2146,1424,0
2251,1424,0
2368,1423,0
2475,1422,0
2590,1422,0
2694,1421,0
367,1546,0
473,1546,0
590,1546,0
698,1546,0
816,1547,0
923,1547,0
1040,1548,0
1146,1548,0
1261,1548,0
1366,1548,0
1480,1548,0
1585,1547,0
1699,1547,0
1804,1546,0
1919,1545,0
